# Sky View Factor Data
# Point_ID X Y Z SkyViewFactor
0 -7.99653 1.65904 4.76667 0
1 -7.99653 1.44237 4.45 0
2 -8.04653 -1.80763 4.43667 0
3 -8.03653 1.49237 4.43333 0.0445537
4 -8.02319 -1.81429 4.15 0
5 -8.09653 -2.21429 3.79833 0
6 -4.69653 -3.18096 4.11667 0.205336
7 -4.27986 -3.14763 4.8 0
8 -4.06319 -3.14763 3.8 0
9 -4.67986 -3.15429 4.43333 0.011795
10 -0.183192 0.535707 4.16667 0
11 -0.183192 0.86904 4.7 0
12 -0.169859 0.702373 4.7 0
13 -5.68986 3.72571 4.43333 0.133837
14 -2.59653 3.78571 0.796667 0
15 -5.50653 3.68571 3.88333 0
16 -2.59653 3.76904 0.8 0
17 -2.18986 3.73571 1.43667 0
18 -2.17986 3.73571 0.813125 0
19 -2.79653 3.79237 0.8061 0
20 -0.196525 1.75237 1.45 0
21 -0.156525 2.00237 1.73333 0
22 -0.146525 2.18071 1.77833 0
23 -0.183192 1.83571 1.16667 0
24 -0.0965253 -1.61096 1.11667 0
25 -0.113192 -1.61429 1.43333 0
26 -0.156525 -2.01429 0.86 0
27 -8.06319 -1.41096 1.76 0
28 -0.196525 -1.64763 1.15 0
29 -8.07986 -1.41429 1.75 0
30 -8.03653 -1.61429 1.74 0
31 -6.91319 3.78571 1.43667 0
32 -8.04653 -1.82096 1.13333 0
33 -6.51153 3.72571 1.745 0
34 -6.91653 3.75237 1.44 0
35 -6.31153 3.72571 1.445 0
36 -6.68986 3.71237 0.9 0.410466
37 -8.02252 -2.03096 4.43333 0.275621
38 -4.64653 -3.13629 4.16667 0
39 -6.52319 3.69971 1.16667 0
40 -8.01853 -1.26429 1.16667 0
41 -8.12366 2.07071 3.78865 0.0769842
42 -8.16652 1.47571 3.77904 0
43 -8.07819 1.87571 3.8 0
44 -8.20965 -1.81596 3.7806 0.310453
45 -0.0272465 1.08237 3.7859 0.272725
46 -8.167 -2.40929 3.78242 0.141604
47 -8.07653 -2.21429 3.79 0
48 -0.0248586 1.08404 3.78062 0
49 -4.49653 -3.32429 3.7679 0
50 0.0157443 1.08404 3.78104 0.24661
51 -2.39653 3.89571 0.767903 0
52 -5.10986 3.89798 3.78104 0.567164
53 -2.20153 3.89951 0.778343 0.116801
54 -2.79653 3.89951 0.778343 0.301819
55 -0.0681919 2.38237 0.785175 0
56 -0.114859 1.98571 0.8 0
57 0.0168081 2.18571 0.760686 0
58 -6.30819 3.81404 0.785175 0
59 -6.70653 3.90071 0.770881 0.515333
60 -6.90653 3.89917 0.77971 0.320864
61 -6.70653 3.85237 0.775891 0
62 -7.98641 1.49414 4.42111 0
63 -7.96395 1.4946 4.37842 0
64 -7.97291 1.50259 4.41733 0
65 -4.12553 -3.11429 4.43833 0
66 -4.11495 -3.08662 4.41197 0
67 -0.198525 1.04871 4.38833 0
68 -4.11449 -3.10574 4.4131 0
69 -2.76542 3.66228 1.41686 0
70 -5.6881 3.66583 4.37491 0
71 -2.77763 3.65314 1.37842 0
72 -5.68387 3.67971 4.42157 0
73 -2.76753 3.67971 1.38833 0
74 -0.202525 2.35836 1.41219 0
75 -0.215947 2.36683 1.34736 0
76 -0.220146 2.35882 1.41733 0
77 -0.198525 -1.62729 1.41167 0
78 -0.196525 -1.64329 1.38833 0
79 -7.98129 -1.79542 1.40646 0
80 -0.210943 -1.63318 1.42157 0
81 -7.99453 -1.78063 1.43833 0
82 -7.96349 -1.78741 1.37861 0
83 -7.98129 -1.78317 1.40646 0
84 -6.89019 3.68171 1.43833 0
85 -6.8881 3.66806 1.40469 0
86 -5.76319 -0.24596 5.09 0
87 -6.02986 -0.247627 5.06 0
88 -3.69486 1.39071 3.68667 0
89 -5.51319 -0.244293 4.37167 0
90 -3.74319 1.42571 3.675 0
91 -3.81153 2.18071 4.38333 0
92 -3.69486 2.16071 4.37333 0
93 -5.17319 1.86737 2.06 0
94 -3.82653 -3.22096 0.675 0
95 -5.17653 -1.56263 2.07 0
96 -3.09986 -3.30096 0 0
97 -3.86486 -3.31429 1.37167 0
98 -5.17653 -1.54596 0.68 0
99 -5.20319 -1.30263 0 0
100 -6.21253 -0.25851 4.00233 0
101 -6.13434 -0.286646 3.99245 0
102 -6.20998 -0.20096 3.8651 0
103 -6.20585 -0.249293 4.00259 0
104 -6.18974 -0.24596 3.86867 0
105 -3.7182 1.98066 4.00233 0
106 -3.72756 2.0357 4.00233 0
107 -3.72623 1.98066 4.00259 0
108 -3.85755 2.0125 4.00233 0
109 -3.84688 2.05013 4.00726 0
110 -3.81153 2.07736 3.99767 0
111 -3.80653 2.09082 3.86688 0
112 -5.13623 2.21442 0.99274 0
113 -5.13305 2.29381 0.99274 0
114 -5.15377 2.30538 1.00726 0
115 -5.2531 2.28769 1.00726 0
116 -5.25475 2.29926 0.99274 0
117 -5.21819 2.29726 1.0849 0
118 -5.15377 -1.11462 0.99274 0
119 -5.2383 -1.11862 1.00778 0
120 -5.26755 -1.1875 1.00233 0
121 -5.24799 -1.12908 1.00233 0
122 -5.17486 -1.13286 0.867336 0
123 -5.22153 -1.12941 0.866882 0
124 -3.74253 -3.36532 0.997667 0.495741
125 -3.7717 -3.24298 1.00233 0
126 -3.68151 -3.35597 0.997667 0.302829
127 -3.76153 -3.31763 0.94 0.0438267
128 -3.78498 -3.31763 1.0849 0.353209
129 -3.77807 -3.27096 1.0849 0
130 -0.224321 -0.39828 3.09318 0
131 -7.67314 2.25757 0.848446 0
132 -7.78179 2.25778 0.848936 0
133 -7.92855 2.22246 0.849619 0
134 -7.87011 2.25789 0.849839 0
135 -7.92208 2.23063 0.849694 0
136 -7.93909 2.20026 0.849864 0
137 -7.88811 2.2534 0.849303 0
138 -7.93587 2.20549 0.787007 0
139 -7.86654 2.25378 0.655989 0
140 -7.87386 2.2551 0.662844 0
141 -7.92991 1.68663 0.645454 0
142 -7.93005 2.21262 0.649856 0
143 -7.8685 2.25992 0.657512 0
144 -7.94446 2.1915 0.663865 0
145 -7.93922 1.68663 0.649798 0
146 -7.94146 1.73236 0.787007 0
147 -7.94249 1.7685 0.849589 0
148 -7.94254 1.65848 0.849635 0
149 -7.93932 1.80952 0.653188 0
150 -7.73984 1.81477 0.645 0
151 -7.93181 1.82707 0.656526 0
152 -7.82131 2.03949 0.645 0
153 -7.78843 2.18389 0.65 0
154 -7.82131 2.03949 0.65 0
155 -7.92828 1.82427 0.658611 0
156 -7.91631 1.8189 0.650124 0
157 -7.92575 1.80056 0.650071 0
158 -7.92503 1.82685 0.657097 0
159 -7.89658 1.85844 0.662593 0
160 -7.89276 1.86269 0.787007 0
161 -7.87453 1.87319 0.648044 0
162 -7.87374 1.86791 0.65121 0
163 -7.85463 1.87718 0.651643 0
164 -7.87156 1.88045 0.848426 0
165 -7.67506 1.88609 0.848464 0
166 -7.82373 1.88697 0.849616 0
167 -7.71544 1.88744 0.84982 0
