# Sky View Factor Data
# Point_ID X Y Z SkyViewFactor
0 -24.1667 -24.1667 0 0.99978
1 -22.5 -24.1667 0 1
2 -20.8333 -24.1667 0 0.999665
3 -19.1667 -24.1667 0 0.999593
4 -17.5 -24.1667 0 0.999133
5 -15.8333 -24.1667 0 0.999898
6 -14.1667 -24.1667 0 0.999656
7 -12.5 -24.1667 0 0.999169
8 -10.8333 -24.1667 0 0.999358
9 -9.16667 -24.1667 0 0.999305
10 -7.5 -24.1667 0 0.999957
11 -5.83333 -24.1667 0 0.999197
12 -4.16667 -24.1667 0 0.999383
13 -2.5 -24.1667 0 1
14 -0.833333 -24.1667 0 0.999455
15 0.833333 -24.1667 0 0.999022
16 2.5 -24.1667 0 0.998464
17 4.16667 -24.1667 0 0.999359
18 5.83333 -24.1667 0 0.999879
19 7.5 -24.1667 0 0.999333
20 9.16667 -24.1667 0 0.999828
21 10.8333 -24.1667 0 1
22 12.5 -24.1667 0 0.999737
23 14.1667 -24.1667 0 1
24 15.8333 -24.1667 0 0.999934
25 17.5 -24.1667 0 0.999696
26 19.1667 -24.1667 0 0.999633
27 20.8333 -24.1667 0 0.999004
28 22.5 -24.1667 0 1
29 24.1667 -24.1667 0 0.999722
30 -24.1667 -22.5 0 1
31 -22.5 -22.5 0 0.99957
32 -20.8333 -22.5 0 0.999659
33 -19.1667 -22.5 0 0.999956
34 -17.5 -22.5 0 0.999015
35 -15.8333 -22.5 0 1
36 -14.1667 -22.5 0 0.999492
37 -12.5 -22.5 0 0.998703
38 -10.8333 -22.5 0 0.999499
39 -9.16667 -22.5 0 0.998835
40 -7.5 -22.5 0 0.999888
41 -5.83333 -22.5 0 0.999193
42 -4.16667 -22.5 0 0.998737
43 -2.5 -22.5 0 0.998961
44 -0.833333 -22.5 0 0.998536
45 0.833333 -22.5 0 0.998598
46 2.5 -22.5 0 0.999473
47 4.16667 -22.5 0 0.99898
48 5.83333 -22.5 0 0.999793
49 7.5 -22.5 0 0.999233
50 9.16667 -22.5 0 0.999001
51 10.8333 -22.5 0 0.999381
52 12.5 -22.5 0 0.999186
53 14.1667 -22.5 0 0.99958
54 15.8333 -22.5 0 0.999554
55 17.5 -22.5 0 0.999313
56 19.1667 -22.5 0 0.999612
57 20.8333 -22.5 0 0.999533
58 22.5 -22.5 0 0.998807
59 24.1667 -22.5 0 0.999524
60 -24.1667 -20.8333 0 0.99996
61 -22.5 -20.8333 0 0.999876
62 -20.8333 -20.8333 0 0.999723
63 -19.1667 -20.8333 0 0.998686
64 -17.5 -20.8333 0 0.999758
65 -15.8333 -20.8333 0 0.999125
66 -14.1667 -20.8333 0 0.999443
67 -12.5 -20.8333 0 0.998757
68 -10.8333 -20.8333 0 0.998478
69 -9.16667 -20.8333 0 0.999705
70 -7.5 -20.8333 0 0.999915
71 -5.83333 -20.8333 0 0.998284
72 -4.16667 -20.8333 0 0.998747
73 -2.5 -20.8333 0 0.999058
74 -0.833333 -20.8333 0 0.996972
75 0.833333 -20.8333 0 0.999223
76 2.5 -20.8333 0 0.999031
77 4.16667 -20.8333 0 0.99915
78 5.83333 -20.8333 0 0.998921
79 7.5 -20.8333 0 0.998846
80 9.16667 -20.8333 0 0.997416
81 10.8333 -20.8333 0 0.998911
82 12.5 -20.8333 0 0.999075
83 14.1667 -20.8333 0 0.999392
84 15.8333 -20.8333 0 0.999207
85 17.5 -20.8333 0 0.999677
86 19.1667 -20.8333 0 0.999259
87 20.8333 -20.8333 0 0.999903
88 22.5 -20.8333 0 0.999215
89 24.1667 -20.8333 0 0.99993
90 -24.1667 -19.1667 0 0.999665
91 -22.5 -19.1667 0 0.999783
92 -20.8333 -19.1667 0 0.999659
93 -19.1667 -19.1667 0 0.999258
94 -17.5 -19.1667 0 0.999038
95 -15.8333 -19.1667 0 0.999294
96 -14.1667 -19.1667 0 0.997421
97 -12.5 -19.1667 0 0.999218
98 -10.8333 -19.1667 0 0.999158
99 -9.16667 -19.1667 0 0.99967
100 -7.5 -19.1667 0 0.997236
101 -5.83333 -19.1667 0 0.997655
102 -4.16667 -19.1667 0 0.99869
103 -2.5 -19.1667 0 0.998182
104 -0.833333 -19.1667 0 0.998013
105 0.833333 -19.1667 0 0.997246
106 2.5 -19.1667 0 0.99828
107 4.16667 -19.1667 0 0.997329
108 5.83333 -19.1667 0 0.996963
109 7.5 -19.1667 0 0.998182
110 9.16667 -19.1667 0 0.99689
111 10.8333 -19.1667 0 0.996702
112 12.5 -19.1667 0 0.998996
113 14.1667 -19.1667 0 0.999101
114 15.8333 -19.1667 0 0.999578
115 17.5 -19.1667 0 0.999379
116 19.1667 -19.1667 0 0.999803
117 20.8333 -19.1667 0 0.999267
118 22.5 -19.1667 0 1
119 24.1667 -19.1667 0 0.999746
120 -24.1667 -17.5 0 0.999778
121 -22.5 -17.5 0 0.999341
122 -20.8333 -17.5 0 0.999382
123 -19.1667 -17.5 0 0.999853
124 -17.5 -17.5 0 0.999734
125 -15.8333 -17.5 0 0.998341
126 -14.1667 -17.5 0 0.997294
127 -12.5 -17.5 0 0.998829
128 -10.8333 -17.5 0 0.997224
129 -9.16667 -17.5 0 0.995511
130 -7.5 -17.5 0 0.997478
131 -5.83333 -17.5 0 0.996499
132 -4.16667 -17.5 0 0.9967
133 -2.5 -17.5 0 0.994322
134 -0.833333 -17.5 0 0.995968
135 0.833333 -17.5 0 0.99829
136 2.5 -17.5 0 0.997662
137 4.16667 -17.5 0 0.99793
138 5.83333 -17.5 0 0.995425
139 7.5 -17.5 0 0.999196
140 9.16667 -17.5 0 0.997516
141 10.8333 -17.5 0 0.997886
142 12.5 -17.5 0 0.999059
143 14.1667 -17.5 0 0.998591
144 15.8333 -17.5 0 0.997629
145 17.5 -17.5 0 0.999514
146 19.1667 -17.5 0 0.998576
147 20.8333 -17.5 0 0.999174
148 22.5 -17.5 0 0.999068
149 24.1667 -17.5 0 0.999572
150 -24.1667 -15.8333 0 0.999525
151 -22.5 -15.8333 0 0.99916
152 -20.8333 -15.8333 0 0.998733
153 -19.1667 -15.8333 0 0.999303
154 -17.5 -15.8333 0 0.998542
155 -15.8333 -15.8333 0 0.996591
156 -14.1667 -15.8333 0 0.995329
157 -12.5 -15.8333 0 0.996947
158 -10.8333 -15.8333 0 0.993927
159 -9.16667 -15.8333 0 0.997219
160 -7.5 -15.8333 0 0.994944
161 -5.83333 -15.8333 0 0.997953
162 -4.16667 -15.8333 0 0.990776
163 -2.5 -15.8333 0 0.994821
164 -0.833333 -15.8333 0 0.993562
165 0.833333 -15.8333 0 0.993353
166 2.5 -15.8333 0 0.994191
167 4.16667 -15.8333 0 0.994404
168 5.83333 -15.8333 0 0.993016
169 7.5 -15.8333 0 0.996317
170 9.16667 -15.8333 0 0.996687
171 10.8333 -15.8333 0 0.997128
172 12.5 -15.8333 0 0.995966
173 14.1667 -15.8333 0 0.998109
174 15.8333 -15.8333 0 0.998787
175 17.5 -15.8333 0 1
176 19.1667 -15.8333 0 0.998905
177 20.8333 -15.8333 0 0.998507
178 22.5 -15.8333 0 0.999871
179 24.1667 -15.8333 0 0.999403
180 -24.1667 -14.1667 0 0.998822
181 -22.5 -14.1667 0 0.999212
182 -20.8333 -14.1667 0 0.999564
183 -19.1667 -14.1667 0 0.999675
184 -17.5 -14.1667 0 0.997136
185 -15.8333 -14.1667 0 0.99603
186 -14.1667 -14.1667 0 0.996377
187 -12.5 -14.1667 0 0.998203
188 -10.8333 -14.1667 0 0.996014
189 -9.16667 -14.1667 0 0.996835
190 -7.5 -14.1667 0 0.995025
191 -5.83333 -14.1667 0 0.990764
192 -4.16667 -14.1667 0 0.99342
193 -2.5 -14.1667 0 0.990481
194 -0.833333 -14.1667 0 0.992822
195 0.833333 -14.1667 0 0.996256
196 2.5 -14.1667 0 0.992954
197 4.16667 -14.1667 0 0.990674
198 5.83333 -14.1667 0 0.992235
199 7.5 -14.1667 0 0.993725
200 9.16667 -14.1667 0 0.992339
201 10.8333 -14.1667 0 0.997664
202 12.5 -14.1667 0 0.995877
203 14.1667 -14.1667 0 0.994548
204 15.8333 -14.1667 0 0.995516
205 17.5 -14.1667 0 0.996676
206 19.1667 -14.1667 0 0.997243
207 20.8333 -14.1667 0 0.998831
208 22.5 -14.1667 0 0.998048
209 24.1667 -14.1667 0 0.999357
210 -24.1667 -12.5 0 0.999013
211 -22.5 -12.5 0 0.99758
212 -20.8333 -12.5 0 0.998715
213 -19.1667 -12.5 0 0.99764
214 -17.5 -12.5 0 0.997328
215 -15.8333 -12.5 0 0.997161
216 -14.1667 -12.5 0 0.99319
217 -12.5 -12.5 0 0.992666
218 -10.8333 -12.5 0 0.99283
219 -9.16667 -12.5 0 0.987902
220 -7.5 -12.5 0 0.991387
221 -5.83333 -12.5 0 0.985741
222 -4.16667 -12.5 0 0.97797
223 -2.5 -12.5 0 0.978993
224 -0.833333 -12.5 0 0.984757
225 0.833333 -12.5 0 0.987728
226 2.5 -12.5 0 0.990892
227 4.16667 -12.5 0 0.989799
228 5.83333 -12.5 0 0.9935
229 7.5 -12.5 0 0.99058
230 9.16667 -12.5 0 0.983124
231 10.8333 -12.5 0 0.993168
232 12.5 -12.5 0 0.987951
233 14.1667 -12.5 0 0.988505
234 15.8333 -12.5 0 0.991632
235 17.5 -12.5 0 0.994725
236 19.1667 -12.5 0 0.997602
237 20.8333 -12.5 0 0.996997
238 22.5 -12.5 0 0.998606
239 24.1667 -12.5 0 0.999013
240 -24.1667 -10.8333 0 0.999324
241 -22.5 -10.8333 0 0.999662
242 -20.8333 -10.8333 0 0.998745
243 -19.1667 -10.8333 0 0.996463
244 -17.5 -10.8333 0 0.994681
245 -15.8333 -10.8333 0 0.997513
246 -14.1667 -10.8333 0 0.990843
247 -12.5 -10.8333 0 0.982812
248 -10.8333 -10.8333 0 0.983785
249 -9.16667 -10.8333 0 0.983167
250 -7.5 -10.8333 0 0.970959
251 -5.83333 -10.8333 0 0.975192
252 -4.16667 -10.8333 0 0.963288
253 -2.5 -10.8333 0 0.980857
254 -0.833333 -10.8333 0 0.963239
255 0.833333 -10.8333 0 0.977691
256 2.5 -10.8333 0 0.977936
257 4.16667 -10.8333 0 0.986898
258 5.83333 -10.8333 0 0.979384
259 7.5 -10.8333 0 0.981744
260 9.16667 -10.8333 0 0.985847
261 10.8333 -10.8333 0 0.970433
262 12.5 -10.8333 0 0.983787
263 14.1667 -10.8333 0 0.985484
264 15.8333 -10.8333 0 0.982745
265 17.5 -10.8333 0 0.991244
266 19.1667 -10.8333 0 0.995064
267 20.8333 -10.8333 0 0.999509
268 22.5 -10.8333 0 0.998263
269 24.1667 -10.8333 0 0.998461
270 -24.1667 -9.16667 0 0.999364
271 -22.5 -9.16667 0 0.998609
272 -20.8333 -9.16667 0 0.998134
273 -19.1667 -9.16667 0 0.996335
274 -17.5 -9.16667 0 0.99728
275 -15.8333 -9.16667 0 0.993829
276 -14.1667 -9.16667 0 0.993317
277 -12.5 -9.16667 0 0.986614
278 -10.8333 -9.16667 0 0.96916
279 -9.16667 -9.16667 0 0.964339
280 -7.5 -9.16667 0 0.964936
281 -5.83333 -9.16667 0 0.927289
282 -4.16667 -9.16667 0 0.936003
283 -2.5 -9.16667 0 0.933281
284 -0.833333 -9.16667 0 0.941383
285 0.833333 -9.16667 0 0.941265
286 2.5 -9.16667 0 0.959184
287 4.16667 -9.16667 0 0.973982
288 5.83333 -9.16667 0 0.957078
289 7.5 -9.16667 0 0.961543
290 9.16667 -9.16667 0 0.969909
291 10.8333 -9.16667 0 0.962208
292 12.5 -9.16667 0 0.962373
293 14.1667 -9.16667 0 0.975069
294 15.8333 -9.16667 0 0.988559
295 17.5 -9.16667 0 0.987175
296 19.1667 -9.16667 0 0.99178
297 20.8333 -9.16667 0 0.991829
298 22.5 -9.16667 0 0.997298
299 24.1667 -9.16667 0 0.9991
300 -24.1667 -7.5 0 0.998547
301 -22.5 -7.5 0 0.997543
302 -20.8333 -7.5 0 0.997994
303 -19.1667 -7.5 0 0.993563
304 -17.5 -7.5 0 0.994378
305 -15.8333 -7.5 0 0.987787
306 -14.1667 -7.5 0 0.979488
307 -12.5 -7.5 0 0.960957
308 -10.8333 -7.5 0 0.950104
309 -9.16667 -7.5 0 0.923574
310 -7.5 -7.5 0 0.894116
311 -5.83333 -7.5 0 0.894417
312 -4.16667 -7.5 0 0.892806
313 -2.5 -7.5 0 0.881266
314 -0.833333 -7.5 0 0.904785
315 0.833333 -7.5 0 0.91515
316 2.5 -7.5 0 0.924238
317 4.16667 -7.5 0 0.938518
318 5.83333 -7.5 0 0.925803
319 7.5 -7.5 0 0.920598
320 9.16667 -7.5 0 0.90867
321 10.8333 -7.5 0 0.9164
322 12.5 -7.5 0 0.928621
323 14.1667 -7.5 0 0.953801
324 15.8333 -7.5 0 0.966807
325 17.5 -7.5 0 0.984876
326 19.1667 -7.5 0 0.98856
327 20.8333 -7.5 0 0.991656
328 22.5 -7.5 0 0.995759
329 24.1667 -7.5 0 0.995324
330 -24.1667 -5.83333 0 0.999156
331 -22.5 -5.83333 0 0.99673
332 -20.8333 -5.83333 0 0.994465
333 -19.1667 -5.83333 0 0.995124
334 -17.5 -5.83333 0 0.990012
335 -15.8333 -5.83333 0 0.982019
336 -14.1667 -5.83333 0 0.975915
337 -12.5 -5.83333 0 0.957128
338 -10.8333 -5.83333 0 0.93285
339 -9.16667 -5.83333 0 0.863457
340 -7.5 -5.83333 0 0.837744
341 -5.83333 -5.83333 0 0.792053
342 -4.16667 -5.83333 0 0.783775
343 -2.5 -5.83333 0 0.74241
344 -0.833333 -5.83333 0 0.823165
345 0.833333 -5.83333 0 0.877614
346 2.5 -5.83333 0 0.91083
347 4.16667 -5.83333 0 0.874755
348 5.83333 -5.83333 0 0.860247
349 7.5 -5.83333 0 0.815167
350 9.16667 -5.83333 0 0.801469
351 10.8333 -5.83333 0 0.866028
352 12.5 -5.83333 0 0.85712
353 14.1667 -5.83333 0 0.864843
354 15.8333 -5.83333 0 0.929724
355 17.5 -5.83333 0 0.973424
356 19.1667 -5.83333 0 0.977425
357 20.8333 -5.83333 0 0.988324
358 22.5 -5.83333 0 0.994737
359 24.1667 -5.83333 0 0.999488
360 -24.1667 -4.16667 0 0.998396
361 -22.5 -4.16667 0 0.995821
362 -20.8333 -4.16667 0 0.994677
363 -19.1667 -4.16667 0 0.998105
364 -17.5 -4.16667 0 0.989362
365 -15.8333 -4.16667 0 0.980415
366 -14.1667 -4.16667 0 0.963172
367 -12.5 -4.16667 0 0.929832
368 -10.8333 -4.16667 0 0.89169
369 -9.16667 -4.16667 0 0.801962
370 -7.5 -4.16667 0 0.661667
